=== AI Battle Results ===
Total Games: 100
Player 0 Wins: 46 (46.0%)
Player 1 Wins: 54 (54.0%)

Total Moves Across All Games: 1853
Average Time Per Move: 1.5956 ms

--- Per-Game Details ---
Game | P0_HP | P0_ATK | P0_SPD | P1_HP | P1_ATK | P1_SPD | Winner | Moves | AvgMoveTime(ms)
  72 |    52 |     16 |      3 |    50 |     19 |      5 |      1 |    19 | 1.5831
  73 |    51 |     14 |      4 |    41 |     18 |      9 |      1 |    15 | 1.7045
  74 |    36 |     17 |      3 |    39 |     17 |      5 |      1 |    15 | 1.5009
  75 |    49 |      7 |      9 |    67 |      8 |      7 |      1 |    22 | 1.5711
  76 |    53 |     15 |      6 |    69 |     13 |      7 |      1 |    19 | 1.5111
  77 |    37 |     17 |      4 |    39 |     17 |      5 |      1 |    17 | 1.2212
  78 |    73 |     10 |      9 |    35 |     18 |      6 |      0 |    17 | 1.6239
  79 |    72 |     19 |      1 |    44 |      6 |      1 |      0 |    16 | 1.6846
  80 |    54 |     13 |      1 |    50 |     15 |      3 |      0 |    20 | 1.5404
  81 |    48 |      5 |      8 |    53 |      7 |      8 |      1 |    26 | 1.5491
  82 |    36 |     11 |      6 |    36 |     11 |      7 |      1 |    17 | 1.5472
  83 |    57 |     16 |      5 |    79 |     17 |      4 |      1 |    16 | 2.3309
  84 |    67 |     14 |      3 |    38 |      8 |      1 |      0 |    17 | 1.5824
  85 |    76 |      7 |      5 |    41 |      8 |      2 |      0 |    31 | 1.4543
  86 |    39 |     16 |      6 |    46 |     17 |      8 |      0 |    18 | 1.5525
  87 |    62 |      6 |      1 |    34 |     12 |      4 |      0 |    24 | 1.5352
  88 |    66 |     17 |      3 |    73 |     15 |      3 |      0 |    21 | 1.4597
  89 |    55 |     17 |      1 |    75 |     14 |      3 |      1 |    19 | 1.4008
  90 |    34 |     19 |      9 |    68 |     18 |      4 |      1 |    12 | 1.4086
  91 |    31 |     15 |      7 |    33 |     18 |      6 |      1 |    14 | 1.4116
  92 |    42 |     12 |      7 |    31 |     12 |      2 |      0 |    15 | 1.4309
  93 |    44 |      9 |      4 |    68 |      7 |      4 |      1 |    24 | 1.5701
  94 |    33 |      9 |      4 |    57 |      5 |      2 |      1 |    22 | 1.6606
  95 |    70 |      5 |      5 |    31 |     13 |      2 |      1 |    20 | 1.5806
  96 |    48 |     11 |      2 |    68 |     14 |      8 |      1 |    17 | 1.4542
  97 |    30 |      9 |      6 |    76 |     18 |      6 |      1 |    18 | 1.3356
  98 |    39 |     19 |      6 |    30 |     15 |      2 |      0 |    19 | 1.3986
  99 |    47 |     19 |      7 |    51 |     14 |      6 |      0 |    15 | 2.5254
 100 |    35 |     13 |      1 |    70 |     11 |      6 |      1 |    19 | 1.5634
